F3E07,Number of Records,Unitid,private
124744,1,100690,0
3803384,1,100937,0
575099,1,101073,0
12121257,1,101116,1
2911400,1,101189,0
499703,1,101277,1
4479027,1,101365,1
1539109,1,101435,0
180265,1,101453,0
685652,1,101541,0
1549162,1,101675,0
1785631,1,101693,0
2886727,1,101912,0
2334607,1,101958,1
11995317,1,102049,0
0,1,102058,0
4439067,1,102234,0
308952,1,102261,0
1303149,1,102270,0
845377,1,102298,0
10234660,1,102377,0
191375,1,102395,0
0,1,102580,0
1482649,1,102669,0
54489602,1,102845,1
5094256,1,103501,1
29307868,1,103644,1
20974762,1,103723,1
1194927,1,103732,1
1528363,1,103741,1
4178980,1,103778,0
108575,1,103787,0
20093020,1,103811,1
10760043,1,103893,1
19230483,1,103909,1
7821150,1,103927,1
0,1,103945,0
597179,1,103954,1
18116845,1,103963,1
43275636,1,104090,1
7726012,1,104188,1
3153369,1,104294,1
11548534,1,104364,1
609170,1,104391,1
543129,1,104434,1
1189588,1,104443,1
1482305,1,104504,1
2407911,1,104568,1
201729,1,104665,0
397205414,1,104717,1
25444483,1,104805,1
3086653,1,104911,1
6550254,1,105118,1
5173705,1,105163,1
7464208,1,105172,1
34180000,1,105215,1
1679313,1,105482,1
39435569,1,105516,1
14994270,1,105534,1
10689563,1,105543,1
622996,1,105589,0
7606050,1,105659,1
445851,1,105677,1
477168,1,105701,1
380894,1,105899,0
9107978,1,105987,1
42265000,1,106041,1
25064274,1,106102,1
2681182,1,106111,1
304168,1,106281,1
964126,1,106306,0
310982,1,106315,1
265877,1,106324,1
1477543,1,106342,0
702526,1,106351,1
443728,1,106360,1
1573218,1,106494,1
0,1,106546,0
912897,1,106713,0
109077,1,106810,0
4841503,1,106892,1
3766420,1,106908,1
9303198,1,107044,0
4359220,1,107080,0
635894,1,107099,1
0,1,107123,0
3423367,1,107141,0
305519,1,107211,1
903995,1,107220,1
106266,1,107275,1
926948,1,107293,1
426260,1,107363,1
351413,1,107442,1
3786520,1,107512,0
1461417,1,107558,0
1414057,1,107600,0
274507,1,107655,1
880280,1,107789,1
417477,1,107831,1
67110,1,107840,0
808549,1,107877,0
51225,1,108065,1
297669535,1,108232,1
6558735,1,108250,1
5965,1,108269,0
828515,1,108348,1
864056,1,108649,1
218418,1,108852,0
174464,1,108861,0
903340,1,108870,0
704229,1,108977,1
60151238,1,109040,1
853816,1,109086,0
1163252,1,109332,1
1594000,1,109651,0
6501553,1,109721,1
1607802,1,109730,1
11477572,1,109785,0
2113641,1,109934,1
160378,1,110060,0
10133763,1,110097,0
22048073,1,110185,1
2029964,1,110194,1
28492971,1,110219,1
146845,1,110307,0
406794,1,110316,0
8726065,1,110361,0
2614000,1,110370,0
66673000,1,110404,0
6634137,1,110413,0
848218,1,110468,0
312425,1,110778,0
839956,1,110875,1
46802,1,110918,0
0,1,110945,0
17340580,1,111009,1
2359899,1,111054,1
2510665,1,111081,0
1727775,1,111391,0
2644267,1,111513,1
199320,1,111638,0
34904,1,111708,0
