Addr,City,Control,Hbcu,Hloffer,Iclevel,Instnm,Latitude,Locale,Longitud,Newid,Number of Records,Obereg,Prgmofr,Sector,Stabbr,Unitid,ZIP
421 Martling Road,Albertville,3,2,2,3,New Beginning College of Cosmetology,34.278124,32,-86.196979,-2,1,5,2,9,AL,101277,35951
809 Second Avenue,Seward,1,2,3,2,AVTEC-Alaska's Institute of Technology,60.110727,43,-149.444573,-2,1,8,17,4,AK,102711,99664-0889
1415 E Tudor Road,Anchorage,3,2,3,2,Alaska Career College,61.181443,11,-149.856954,-2,1,8,7,6,AK,103501,99507-1033
12827 N Tatum Blvd,Phoenix,3,2,2,3,Empire Beauty School-Paradise Valley,33.602593,11,-111.976357,-2,1,6,2,9,AZ,103732,85032
3030 E Speedway Blvd,Tucson,3,2,2,3,Empire Beauty School-Tucson,32.235657,11,-110.927187,-2,1,6,2,9,AZ,103741,85716
440 S 54th Avenue,Phoenix,3,2,1,3,American Institute of Technology,33.442262,11,-112.175304,-2,1,6,4,9,AZ,103811,85043-4729
8503 N 27th Ave.,Phoenix,3,2,5,1,Carrington College-Phoenix,33.560821,11,-112.115546,-2,1,6,5,3,AZ,103893,85051-4063
"1001 Southern Ave., Ste. 130",Mesa,3,2,4,2,Carrington College-Mesa,33.39207,11,-111.855281,-2,1,6,10,6,AZ,103909,85210
3550 N Oracle Rd.,Tucson,3,2,3,2,Carrington College-Tucson,32.27094,11,-110.977571,-2,1,6,7,6,AZ,103927,85705-5885
5631 E Speedway Blvd,Tucson,3,2,2,3,Arizona Academy of Beauty-East,32.237253,11,-110.872305,-2,1,6,3,9,AZ,103954,85712
6829 N 46th Ave,Glendale,3,2,2,3,Arizona Automotive Institute,33.537249,21,-112.157344,-2,1,6,4,9,AZ,103963,85301-3579
"2445 W. Dunlap Ave., Ste. 100",Phoenix,3,2,7,1,Brookline College-Phoenix,33.525384,11,-112.15007,-2,1,6,26,3,AZ,104090,85021
"15147 N. Scottsdale Road, Suite H-300",Scottsdale,3,2,2,3,Brillare Hairdressing Academy,33.623979,12,-111.925481,-2,1,6,1,9,AZ,104294,85254
"1987 McCulloch Blvd, Suite 205",Lake Havasu City,3,2,2,3,Charles of Italy Beauty College,34.475275,13,-114.328134,-2,1,6,2,9,AZ,104391,86403
1790 E Rte 66,Flagstaff,3,2,2,3,Empire Beauty School-Flagstaff,35.197151,13,-111.625936,-2,1,6,2,9,AZ,104434,86004
2978 N Alma School Rd #1-3,Chandler,3,2,2,3,Empire Beauty School-Chandler,33.347586,21,-111.860423,-2,1,6,2,9,AZ,104443,85224
"6390 E. Broadway, Suite 100",Tucson,3,2,2,3,Cortiva Institute-Tucson,32.21901,11,-110.856785,-2,1,6,2,9,AZ,104504,85710
2111 S Alma School Rd Ste 21,Mesa,3,2,2,3,Avalon School of Cosmetology-Mesa,33.376583,11,-111.858305,-2,1,6,3,9,AZ,104568,85210
1445 W Southern Ave #2006,Mesa,3,2,2,3,International Academy of Hair Design,33.392961,11,-111.862674,-2,1,6,4,9,AZ,104911,85202-4887
"13610 N Black Canyon Hwy,  Ste 104",Phoenix,3,2,3,2,Kaplan College-Phoenix,33.608202,11,-112.118921,-2,1,6,4,6,AZ,105118,85029
2844 W Deer Valley Rd,Phoenix,3,2,4,2,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,33.684428,11,-112.121336,-2,1,6,10,6,AZ,105215,85027
8010 East McDowell Road #214,Scottsdale,3,2,1,3,Cortiva Institute-Scottsdale,33.466554,12,-111.908433,-2,1,6,1,9,AZ,105482,85257
"3350 East Grant Road, Suite 200",Tucson,3,2,5,1,Pima Medical Institute-Tucson,32.250448,11,-110.921306,-2,1,6,16,3,AZ,105534,85716
4400 Cutler Avenue NE,Albuquerque,3,2,3,2,Pima Medical Institute-Albuquerque,35.10485,11,-106.594451,-2,1,6,12,6,NM,105543,87110
4210 E Washington Street,Phoenix,3,2,3,2,Refrigeration School Inc,33.448692,11,-111.989357,-2,1,6,4,6,AZ,105659,85034-1816
1012 NW Grand Ave,Phoenix,3,2,1,3,Roberto-Venn School of Luthiery,33.45489,11,-112.086161,-2,1,6,1,9,AZ,105677,85007
1550 West Thatcher Blvd,Safford,3,2,2,3,Hair Academy of Safford,32.835302,41,-109.727696,-2,1,6,3,9,AZ,105701,85546
"5151 E Broadway Blvd, Ste.155",Tucson,3,2,2,3,Tucson College,32.22205,11,-110.883181,-2,1,6,9,9,AZ,105987,85711
10695 West Pierce Street,Avondale,3,2,3,2,Universal Technical Institute of Arizona Inc,33.453533,22,-112.289693,-2,1,6,8,6,AZ,106041,85323
2727 W. Glendale Ave. #200,Glendale,3,2,2,3,Empire Beauty School-NW Phoenix,33.538093,11,-112.118168,-2,1,6,2,9,AZ,106111,85051
203 S 26th Street,Arkadelphia,3,2,2,3,ABC Beauty College Inc,34.12018,32,-93.080831,-2,1,5,4,9,AR,106281,71923
5108 Baseline Rd,Little Rock,3,2,2,3,Arkansas Beauty School,34.669071,12,-92.334814,-2,1,5,4,9,AR,106315,72209
109 N Commerce St,Russellville,3,2,2,3,Arkansas Beauty College,35.278622,33,-93.13522,-2,1,5,4,9,AR,106324,72801
200 E Washington Ave,North Little Rock,3,2,2,3,Arkansas College of Barbering and Hair Design,34.753621,13,-92.266336,-2,1,5,2,9,AR,106351,72114
2000 North B St,Fort Smith,3,2,2,3,Arthur's Beauty College Inc-Fort Smith,35.379955,13,-94.410967,-2,1,5,2,9,AR,106360,72901-3342
2600 John Harden Dr,Jacksonville,3,2,2,3,Arthur's Beauty College Inc-Jacksonville,34.8918,21,-92.102284,-2,1,5,2,9,AR,106494,72076
200 South University Avenue,Little Rock,3,2,1,3,Eastern College of Health Vocations-Little Rock,34.75128,12,-92.341891,-2,1,5,2,9,AR,106892,72205
4201 E McCain Blvd,North Little Rock,3,2,2,3,Imagine-Paul Mitchell Partner School,34.791306,13,-92.221304,-2,1,5,2,9,AR,106908,72117
100 Cones Rd,Hot Springs,3,2,2,3,Hot Springs Beauty College,34.496287,13,-93.038381,-2,1,5,4,9,AR,107099,71901
1600 West 40th St,Pine Bluff,2,2,4,2,Jefferson Regional Medical Center School of Nursing,34.187831,13,-92.018045,-2,1,5,1,5,AR,107123,71603
2700 W. Pershing Blvd,North  Little Rock,3,2,2,3,Lees School of Cosmetology,34.781993,13,-92.296729,-2,1,5,2,9,AR,107211,72114-3800
346 E. Robinson Ave,Springdale,3,2,2,3,Career Academy of Hair Design,36.16757,13,-94.131834,-2,1,5,4,9,AR,107220,72764-7128
408 Hwy 201 N,Mountain Home,3,2,2,3,Marsha Kay Beauty College,36.344658,33,-92.386019,-2,1,5,1,9,AR,107275,72653-3164
311 S 16th St,Fort Smith,3,2,2,3,Academy of Salon and Spa,35.380891,13,-94.416327,-2,1,5,4,9,AR,107293,72901
305 East Gaines Street,Monticello,3,2,2,3,Margaret's Hair Academy Inc,33.629169,33,-91.7887,-2,1,5,3,9,AR,107363,71655
1221 E 7th St,North Little Rock,3,2,2,3,New Tyler Barber College Inc,34.759076,13,-92.254108,-2,1,5,2,9,AR,107442,72114-4973
460 North Washington,El Dorado,3,2,2,3,Professional Cosmetology Education Center,33.215124,33,-92.663131,-2,1,5,2,9,AR,107655,71730-4009
4156 N Steele Blvd,Fayetteville,3,2,2,3,Paul Mitchell the School-Arkansas,36.127461,13,-94.154447,-2,1,5,1,9,AR,107789,72703
1004 S Main,Searcy,3,2,2,3,Searcy Beauty College Inc,35.237723,32,-91.73454,-2,1,5,3,9,AR,107831,72143
1520 Martin Luther King Dr,Little Rock,3,2,2,3,Velvatex College of Beauty Culture,34.735724,12,-92.289758,-2,1,5,1,9,AR,108065,72202-5452
16052 Beach Blvd St 263n,Huntington Beach,3,2,2,3,The Academy of Radio and TV Broadcasting,33.728895,21,-117.987666,-2,1,8,3,9,CA,108348,92647
2318 Central Ave,Alameda,3,2,2,3,Avalon School of Cosmetology-Alameda,37.764203,21,-122.243566,-2,1,8,2,9,CA,108649,94501
646 S. Sunset Ave,West Covina,3,2,2,3,American Beauty College,33.884391,21,-118.125036,-2,1,8,4,9,CA,108977,91790
102 N Glassell St,Orange,3,2,2,3,COBA Academy,33.788258,12,-117.85348,-2,1,8,1,9,CA,112455,92866
1622 N. Highland Ave,Hollywood,3,2,1,3,Elegance International,34.062216,11,-118.338332,-2,1,8,1,9,CA,114044,90028-6106
200 N. San Fernando Blvd,Burbank,3,2,2,3,Marinello Schools of Beauty-Burbank,34.181902,12,-118.309749,-2,1,8,7,9,CA,114071,91502
24741 Alessandro Blvd,Moreno Valley,3,2,2,3,Marinello Schools of Beauty-Moreno Valley,33.915981,21,-117.228072,-2,1,8,4,9,CA,114080,92553
3035 Cleveland Ave,Santa Rosa,3,2,3,2,Empire College School of Business,38.467789,12,-122.728642,-2,1,8,23,6,CA,114123,95403-2126
1515 Sports Drive    Ste 100,Sacramento,3,2,2,3,Federico Beauty Institute,38.64883,21,-121.497761,-2,1,8,2,9,CA,114460,95834
1110 N Tustin St,Orange,3,2,2,3,Hair California Beauty Academy,33.805786,12,-117.836692,-2,1,8,6,9,CA,114628,92867
831 F St,Eureka,3,2,2,3,Fredrick and Charles Beauty College,40.798811,33,-124.165778,-2,1,8,4,9,CA,114761,95501
4021 Rosewood Avenue,Los Angeles,3,2,3,2,American Career College-Los Angeles,34.079236,11,-118.292282,-2,1,8,8,6,CA,109040,90004
22336 Main Street,Hayward,3,2,2,3,Everest College-Hayward,37.675438,12,-122.084826,-2,1,8,4,9,CA,109332,94541
1670 Wilshire Blvd,Los Angeles,3,2,2,3,Associated Technical College-Los Angeles,34.055987,11,-118.27243,-2,1,8,2,9,CA,109721,90017-1604
707 Broadway-Ste 300,San Diego,3,2,1,3,Associated Technical College-San Diego,32.715658,11,-117.158203,-2,1,8,2,9,CA,109730,92101
1520 East Plaza Blvd,National City,3,2,4,2,Bellus Academy-National City,32.676762,21,-117.090235,-2,1,8,4,6,CA,109934,91950
1110 Technology Cir Ste D,Anaheim,3,2,2,3,Brownson Technical School,33.819,11,-117.906409,-2,1,8,2,9,CA,110194,92805
1115 15th St,Modesto,3,2,2,3,California Beauty School,37.645217,12,-120.99689,-2,1,8,2,9,CA,110875,95354
"8011 University Avenue, Suite A-2",La Mesa,3,2,2,3,California Hair Design Academy,32.765221,21,-117.024261,-2,1,8,4,9,CA,111054,91941-5055
12471 Valley View,Garden Grove,3,2,2,3,Career Academy of Beauty,33.781018,21,-118.031697,-2,1,8,4,9,CA,111513,92845
6725 Kester Ave,Van Nuys,2,2,3,2,Casa Loma College-Van Nuys,34.195438,11,-118.448335,-2,1,8,6,5,CA,111638,91405
4153 Market Street,San Diego,2,2,2,3,CET-San Diego,32.711715,11,-117.122496,-2,1,8,3,8,CA,111708,92102
701 Vine St,San Jose,2,2,2,3,CET-Sobrato,37.322723,11,-121.88698,-2,1,8,9,8,CA,111717,95110
294 S 3rd St,El Centro,2,2,2,3,CET-El Centro,32.790908,13,-115.549079,-2,1,8,5,8,CA,111726,92243
1430 Cooley Court,San Bernardino,2,2,2,3,CET-San Bernardino,34.075136,12,-117.268738,-2,1,8,3,8,CA,111744,92408
10 Blanca Lane,Watsonville,2,2,2,3,CET-Watsonville,36.931833,13,-121.767991,-2,1,8,4,8,CA,111762,95076
7800 Arroyo Cir,Gilroy,2,2,2,3,CET-Gilroy,37.015671,23,-121.561429,-2,1,8,3,8,CA,111771,95020
421 Monterey St,Salinas,2,2,2,3,CET-Salinas,36.671635,12,-121.652791,-2,1,8,2,8,CA,111799,93901
7518 Baird Way,Citris Heights,3,2,2,3,Citrus Heights Beauty College,38.7131,21,-121.289501,-2,1,8,3,9,CA,112181,95610-1410
6500 S. Mooney Blvd.,Visalia,3,2,1,3,Milan Institute-Visalia,36.27164,12,-119.312151,-2,1,8,8,9,CA,112288,93277
1452 David E Cook Way,Clovis,1,2,2,3,Clovis Adult Education,36.836915,21,-119.69019,-2,1,8,4,7,CA,112367,93611
8700 Van Nuys Blvd,Panorama City,3,2,2,3,Western Beauty Institute,34.227357,11,-118.449674,-2,1,8,5,9,CA,112783,91402
2627 W Florida Ave-Ste 100,Hemet,3,2,2,3,Marinello Schools of Beauty-Hemet,33.746002,22,-116.999892,-2,1,8,8,9,CA,113397,92545
72261 Hwy 111 Ste 121-B,Palm Desert,3,2,2,3,International School of Beauty Inc,33.729555,21,-116.403928,-2,1,8,8,9,CA,113449,92260-2740
955 Monroe St,Santa Clara,3,2,2,3,Marinello Schools of Beauty-Santa Clara,37.347964,12,-121.947773,-2,1,8,7,9,CA,113908,95050
5345 Armada Dr,Carlsbad,2,2,1,3,Gemological Institute of America-Carlsbad,33.131313,12,-117.318765,-2,1,8,7,8,CA,114947,92008
240 North Brand Boulevard Lower Level,Glendale,3,2,2,3,Glendale Career College,34.14969,12,-118.254561,-2,1,8,6,9,CA,115010,91203
208 W Highland Ave,San Bernardino,3,2,2,3,Salon Success Academy-San Bernardino,34.135988,12,-117.287615,-2,1,8,2,9,CA,115357,92405
6317 Mission St,Daly City,3,2,2,3,Hilltop Beauty School,37.705545,21,-122.461674,-2,1,8,3,9,CA,115658,94014
2400 Walsh Avenue,Santa Clara,3,2,2,3,Institute for Business and Technology,37.368642,12,-121.969541,-2,1,8,6,9,CA,115931,95051-1303
