Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,100654
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,100663
9970,19570,,9970,19570,,9970,19570,,1,100690
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,100706
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,100724
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,100751
8524,16372,,8524,16372,,11824,19672,,1,100760
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,100830
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,100858
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,100937
6860,12260,,6860,12260,,10190,15590,,1,101028
12390,20790,18330,12390,20790,18330,12390,20790,18330,1,101073
26043,29544,30442,26043,29544,30442,26043,29544,30442,1,101116
7276,12676,,7276,12676,,10384,15784,,1,101143
8252,12160,13040,8252,12160,13040,11582,15490,16370,1,101161
24730,32730,31010,24730,32730,31010,24730,32730,31010,1,101189
7817,12317,8925,7817,12317,8925,11147,15647,12255,1,101240
7267,10250,,7267,10250,,10597,13580,,1,101286
10100,15980,13300,10100,15980,13300,13430,19310,16630,1,101295
11800,21900,,11800,21900,,15130,25230,,1,101301
20069,28043,,20069,28043,,20069,28043,,1,101365
25535,31885,33885,25535,31885,33885,25535,31885,33885,1,101435
14425,22818,17242,14425,22818,17242,14425,22818,17242,1,101453
8036,12761,,8036,12761,,10700,15425,,1,101462
4608,4608,,4608,4608,,4608,4608,,1,101471
15760,25056,21237,15760,25056,21237,22552,31848,28029,1,101480
7708,11824,13485,7708,11824,13485,11038,15154,16815,1,101499
11148,20058,,11148,20058,,14478,23388,,1,101505
8840,13340,,8840,13340,,12110,16610,,1,101514
,,28840,,,28840,,,28840,1,101541
10675,18348,12630,10675,18348,12630,14035,21708,15990,1,101569
12292,18162,18162,12292,18162,18162,18802,24672,24672,1,101587
