Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
10282,21849,21849,10282,21849,21849,15874,27441,27441,1088,1,86,632,63,1001,1001,0,15,1269,100654,100654
12581,22495,22495,12581,22495,22495,21773,31687,31687,1732,1,53,1325,80,1653,1653,0,18,3277,100663,100663
9970,19570,,9970,19570,,9970,19570,,3,1,43,3,38,8,8,0,10,7,100690,100690
15033,23466,23466,15033,23466,23466,27347,35780,35780,638,1,43,498,81,615,615,0,16,1474,100706,100706
13492,20812,18286,13492,20812,18286,20428,27748,25222,1520,1,86,893,62,1436,1436,0,16,1768,100724,100724
15620,27000,27000,15620,27000,27000,30120,41500,41500,6428,1,79,5479,87,6298,6338,40,21,8133,100751,100751
8524,16372,,8524,16372,,11824,19672,,470,1,62,198,43,464,464,0,17,762,100760,100760
12650,20440,17820,12650,20440,17820,28850,36640,34020,685,1,57,366,63,579,579,0,16,1202,100830,100830
13730,25282,25282,13730,25282,25282,30242,41794,41794,3696,1,77,3404,89,3805,3805,0,18,4813,100858,100858
33040,44690,45470,33040,44690,45470,33040,44690,45470,356,1,93,262,80,326,327,1,13,384,100937,100937
6860,12260,,6860,12260,,10190,15590,,333,1,42,188,52,364,364,0,18,794,101028,101028
12390,20790,18330,12390,20790,18330,12390,20790,18330,147,1,60,64,41,156,156,0,17,244,101073,101073
26043,29544,30442,26043,29544,30442,26043,29544,30442,27,1,14,6,19,31,31,0,12,187,101116,101116
7276,12676,,7276,12676,,10384,15784,,340,1,33,158,54,292,292,0,18,1015,101143,101143
8252,12160,13040,8252,12160,13040,11582,15490,16370,1078,1,57,506,52,971,971,0,25,1906,101161,101161
24730,32730,31010,24730,32730,31010,24730,32730,31010,287,1,31,173,50,346,346,0,15,915,101189,101189
7817,12317,8925,7817,12317,8925,11147,15647,12255,1143,1,58,555,56,993,993,0,20,1985,101240,101240
7267,10250,,7267,10250,,10597,13580,,840,1,49,469,56,838,838,0,19,1727,101286,101286
10100,15980,13300,10100,15980,13300,13430,19310,16630,997,1,57,605,64,950,950,0,17,1750,101295,101295
11800,21900,,11800,21900,,15130,25230,,371,1,55,179,53,337,337,0,17,670,101301,101301
20069,28043,,20069,28043,,20069,28043,,25,1,21,1,50,2,2,0,13,117,101365,101365
25535,31885,33885,25535,31885,33885,25535,31885,33885,261,1,82,171,62,276,276,0,14,319,101435,101435
14425,22818,17242,14425,22818,17242,14425,22818,17242,7,1,28,2,100,2,2,0,5,25,101453,101453
8036,12761,,8036,12761,,10700,15425,,142,1,19,52,42,123,123,0,19,766,101462,101462
4608,4608,,4608,4608,,4608,4608,,246,1,84,118,62,190,190,0,12,293,101471,101471
15760,25056,21237,15760,25056,21237,22552,31848,28029,1142,1,55,926,71,1302,1302,0,18,2083,101480,101480
7708,11824,13485,7708,11824,13485,11038,15154,16815,246,1,54,142,52,274,274,0,17,454,101499,101499
11148,20058,,11148,20058,,14478,23388,,1053,1,31,556,52,1062,1062,0,22,3349,101505,101505
8840,13340,,8840,13340,,12110,16610,,1225,1,33,787,57,1369,1370,1,26,3748,101514,101514
,,28840,,,28840,,,28840,66,1,57,46,60,77,77,0,8,115,101541,101541
10675,18348,12630,10675,18348,12630,14035,21708,15990,585,1,53,324,53,617,617,0,17,1099,101569,101569
12292,18162,18162,12292,18162,18162,18802,24672,24672,375,1,59,211,58,365,365,0,16,637,101587,101587
8987,18437,,8987,18437,,12317,21767,,410,1,56,199,57,349,349,0,17,730,101602,101602
,,16520,,,16520,,,22520,249,1,89,93,38,244,244,0,16,281,101648,101648
15582,26112,22318,15582,26112,22318,15582,26112,22318,404,1,72,236,55,431,431,0,15,562,101675,101675
25668,35162,32570,25668,35162,32570,25668,35162,32570,258,1,66,170,77,220,220,0,13,393,101693,101693
16610,23340,23340,16610,23340,23340,26300,33030,33030,519,1,73,397,74,539,539,0,16,708,101709,101709
11000,16500,,11000,16500,,14330,19830,,668,1,45,380,53,722,722,0,21,1486,101736,101736
10878,17078,16933,10878,17078,16933,16470,22670,22525,953,1,57,744,71,1051,1051,0,21,1683,101879,101879
8145,10645,,8145,10645,,11475,13975,,538,1,49,371,61,604,604,0,20,1107,101897,101897
23634,34330,36295,23634,34330,36295,23634,34330,36295,364,1,82,304,79,386,386,0,14,446,101912,101912
9200,14100,,9200,14100,,12530,17430,,427,1,62,206,57,363,363,0,17,687,101949,101949
15294,26937,,15294,26937,,15294,26937,,4,1,100,5,83,6,6,0,15,4,101958,101958
6885,11885,,6885,11885,,10215,15215,,68,1,29,41,49,84,84,0,12,234,101994,101994
8700,12200,,8700,12200,,12030,15530,,835,1,48,305,41,740,740,0,23,1751,102030,102030
32100,41600,40900,32100,41600,40900,32100,41600,40900,755,1,82,608,87,701,701,0,12,925,102049,102049
7840,14040,16740,7840,14040,16740,7840,14040,16740,190,1,43,50,42,119,119,0,15,437,102058,102058
10250,15750,,10250,15750,,13580,19080,,877,1,45,500,58,855,855,0,22,1942,102067,102067
8177,12677,10771,8177,12677,10771,11507,16007,14101,656,1,66,387,59,651,651,0,23,990,102076,102076
12720,20894,19980,12720,20894,19980,19368,27542,26628,1834,1,64,1280,68,1886,1886,0,19,2879,102094,102094
34874,42534,46170,34874,42534,46170,34874,42534,46170,432,1,87,223,76,295,295,0,13,499,102234,102234
14861,20606,19585,14861,20606,19585,14861,20606,19585,16,1,34,9,64,14,14,0,12,47,102261,102261
19821,26877,26877,19821,26877,26877,19821,26877,26877,163,1,67,169,61,276,276,0,14,244,102270,102270
14792,17192,21296,14792,17192,21296,14792,17192,21296,256,1,80,68,33,207,207,0,20,319,102298,102298
8488,13438,,8488,13438,,11152,16102,,201,1,38,120,50,241,241,0,12,534,102313,102313
13912,19060,18228,13912,19060,18228,20248,25396,24564,1613,1,47,1067,74,1444,1444,0,17,3452,102368,102368
24403,32853,32853,24403,32853,32853,24403,32853,32853,645,1,90,470,72,649,649,0,13,714,102377,102377
10080,17295,14360,10080,17295,14360,13410,20625,17690,753,1,56,434,58,747,747,0,17,1355,102429,102429
9654,22151,18620,9654,22151,18620,19713,32210,28679,1411,1,50,709,71,1004,1004,0,20,2801,102553,102553
11412,21540,15900,11412,21540,15900,11412,21540,15900,12,1,67,3,60,5,5,0,8,18,102580,102580
10634,19572,16484,10634,19572,16484,21210,30148,27060,775,1,37,339,77,441,441,0,14,2097,102614,102614
10216,22562,18657,10216,22562,18657,20792,33138,29233,159,1,25,68,72,95,95,0,16,640,102632,102632
34310,48510,43180,34310,48510,43180,34310,48510,43180,31,1,23,18,67,27,27,0,8,137,102669,102669
,,,,,,,,,,1,,284,100,284,284,0,15,,102711,102711
25147,32020,,25147,32020,,25147,32020,,,1,,26,43,60,60,0,9,,102845,102845
7848,18848,15648,7848,18848,15648,7848,18848,15648,5,1,6,4,40,10,10,0,24,78,103361,103361
19560,27174,,19560,27174,,19560,27174,,,1,,0,,0,0,0,20,,103644,103644
17140,27140,23342,17140,27140,23342,17140,27140,23342,15,1,75,4,67,6,6,0,6,20,103787,103787
,,,,,,,,,,1,,0,,0,0,0,35,,103893,103893
,,,,,,,,,,1,,56,72,78,78,0,26,,103909,103909
,,,,,,,,,,1,,56,73,77,77,0,37,,103927,103927
23563,30379,,23563,30379,,23563,30379,,,1,,15,65,23,23,0,15,,103945,103945
15287,24075,23837,15287,24075,23837,29080,37868,37630,7114,1,66,5336,84,6322,6450,128,23,10751,104151,104151
12260,17758,15827,12260,17758,15827,17735,23233,21302,844,1,38,573,62,917,917,0,22,2202,104160,104160
16335,30531,25179,16335,30531,25179,33327,47523,42171,6272,1,70,5667,81,6955,6955,0,21,8953,104179,104179
43245,58973,,43245,58973,,43245,58973,,30,1,55,11,85,13,13,0,9,55,104188,104188
6395,12001,12001,6395,12001,12001,14345,19951,19951,544,1,22,291,49,590,590,0,17,2481,104346,104346
21987,25483,,21987,25483,,21987,25483,,80,1,41,0,0,4,4,0,9,196,104364,104364
6178,14223,10549,6178,14223,10549,10426,18471,14797,494,1,41,234,56,418,418,0,15,1202,104425,104425
6630,12320,12345,6630,12320,12345,13230,18920,18945,502,1,36,302,54,558,645,87,19,1382,104577,104577
36764,46314,46314,36764,46314,46314,36764,46314,46314,443,1,79,308,83,372,374,2,16,562,104586,104586
9780,15504,,9780,15504,,15564,21288,,2057,1,35,1324,59,2227,2227,0,21,5796,104708,104708
25300,32100,32100,25300,32100,32100,25300,32100,32100,1554,1,12,743,59,1264,1264,0,21,12687,104717,104717
18275,36115,,18275,36115,,18275,36115,,,1,,28,88,32,32,0,30,,104805,104805
9780,15504,,9780,15504,,15564,21288,,334,1,17,171,55,309,309,0,14,2024,105145,105145
9780,15504,,9780,15504,,15564,21288,,1942,1,30,1196,56,2124,2124,0,19,6419,105154,105154
22431,29926,,22431,29926,,22431,29926,,44,1,65,0,,0,0,0,31,68,105163,105163
22431,29926,,22431,29926,,22431,29926,,73,1,80,0,0,1,1,0,30,91,105172,105172
7257,14910,,7257,14910,,12873,20526,,231,1,15,120,53,227,227,0,16,1513,105206,105206
10715,14075,12175,10715,14075,12175,10715,14075,12175,210,1,65,4,80,5,5,0,14,321,105297,105297
13892,22502,22746,13892,22502,22746,26247,34857,35101,4348,1,60,2936,72,4090,4092,2,19,7260,105330,105330
8506,16582,,8506,16582,,14290,22366,,54,1,6,23,26,87,87,0,13,838,105349,105349
9780,15504,,9780,15504,,15564,21288,,733,1,19,441,60,731,731,0,17,3938,105428,105428
18150,24380,,18150,24380,,18150,24380,,,1,,35,46,76,76,0,21,,105516,105516
5724,11424,,5724,11424,,12048,17748,,2675,1,31,1667,61,2746,2746,0,25,8694,105525,105525
33696,39096,41336,33696,39096,41336,33696,39096,41336,40,1,28,47,73,64,64,0,9,141,105589,105589
7534,12622,,7534,12622,,13318,18406,,172,1,3,51,19,265,265,0,32,5016,105668,105668
9780,15504,,9780,15504,,15564,21288,,898,1,29,589,58,1022,1022,0,18,3080,105747,105747
9780,15504,,9780,15504,,15564,21288,,439,1,28,271,59,456,456,0,17,1562,105792,105792
26407,36382,35382,26407,36382,35382,26407,36382,35382,90,1,36,64,68,94,94,0,13,251,105899,105899
9800,14784,,9800,14784,,9800,14784,,,1,,5,18,28,28,0,14,,106102,106102
5672,13172,13732,5672,13172,13732,11720,19220,19780,440,1,20,189,63,302,302,0,19,2213,106148,106148
14190,24135,23191,14190,24135,23191,23967,33912,32968,633,1,24,562,70,806,806,0,14,2661,106245,106245
17965,20915,21005,17965,20915,21005,17965,20915,21005,206,1,55,101,39,256,258,2,20,372,106306,106306
26594,34154,34154,26594,34154,34154,26594,34154,34154,174,1,76,111,70,159,159,0,12,230,106342,106342
13170,22212,22212,13170,22212,22212,24426,33468,33468,4300,1,75,3734,82,4548,4550,2,19,5761,106397,106397
10152,14912,16882,10152,14912,16882,15852,20612,22582,557,1,77,317,56,564,564,0,15,727,106412,106412
8586,16314,12110,8586,16314,12110,10436,18164,13960,779,1,73,485,55,884,884,0,18,1070,106449,106449
12494,30107,20014,12494,30107,20014,18104,35717,25624,1575,1,63,1194,73,1633,1633,0,18,2517,106458,106458
10226,22008,16086,10226,22008,16086,15002,26784,20862,1678,1,70,1001,69,1443,1443,0,20,2405,106467,106467
11943,18693,16427,11943,18693,16427,17740,24490,22224,623,1,45,246,42,580,582,2,17,1384,106485,106485
19210,27754,,19210,27754,,19210,27754,,,1,,15,63,24,24,0,13,,106546,106546
8718,13624,,8718,13624,,11406,16312,,344,1,67,230,59,389,389,0,17,517,106625,106625
13046,20084,18596,13046,20084,18596,18791,25829,24341,2177,1,77,1486,70,2130,2130,0,17,2842,106704,106704
