Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
10282,21849,21849,10282,21849,21849,15874,27441,27441,4439,581,5020,1,100654,100654
12581,22495,22495,12581,22495,22495,21773,31687,31687,11961,6607,18568,1,100663,100663
9970,19570,,9970,19570,,9970,19570,,323,308,631,1,100690,100690
15033,23466,23466,15033,23466,23466,27347,35780,35780,4802,2574,7376,1,100706,100706
13492,20812,18286,13492,20812,18286,20428,27748,25222,5182,893,6075,1,100724,100724
15620,27000,27000,15620,27000,27000,30120,41500,41500,29498,5254,34752,1,100751,100751
8524,16372,,8524,16372,,11824,19672,,953,953,1906,1,100760,100760
12650,20440,17820,12650,20440,17820,28850,36640,34020,3223,1873,5096,1,100830,100830
13730,25282,25282,13730,25282,25282,30242,41794,41794,21093,3771,24864,1,100858,100858
33040,44690,45470,33040,44690,45470,33040,44690,45470,1167,21,1188,1,100937,100937
6860,12260,,6860,12260,,10190,15590,,1053,784,1837,1,101028,101028
12390,20790,18330,12390,20790,18330,12390,20790,18330,543,57,600,1,101073,101073
26043,29544,30442,26043,29544,30442,26043,29544,30442,313,369,682,1,101116,101116
7276,12676,,7276,12676,,10384,15784,,1318,1015,2333,1,101143,101143
8252,12160,13040,8252,12160,13040,11582,15490,16370,2573,1789,4362,1,101161,101161
24730,32730,31010,24730,32730,31010,24730,32730,31010,2321,872,3193,1,101189,101189
7817,12317,8925,7817,12317,8925,11147,15647,12255,3185,2612,5797,1,101240,101240
7267,10250,,7267,10250,,10597,13580,,2294,2392,4686,1,101286,101286
10100,15980,13300,10100,15980,13300,13430,19310,16630,2954,2327,5281,1,101295,101295
11800,21900,,11800,21900,,15130,25230,,1068,677,1745,1,101301,101301
20069,28043,,20069,28043,,20069,28043,,160,160,320,1,101365,101365
25535,31885,33885,25535,31885,33885,25535,31885,33885,902,208,1110,1,101435,101435
