name_x,czname_x,public,iclevel,tier,tier_name,avgfacsal_2013,exp_instr_pc_2013,k_median_x,k_mean,k_rank
Vaughn College Of Aeronautics And Technology,New York,0,1.0,8,Nonselective four-year private not-for-profit,9139.0,5508.3994,53000,56313.27651610153,0.66955352
CUNY Bernard M. Baruch College,New York,1,1.0,5,Selective public,8651.0,6754.6748,57600,69068.91660414742,0.69869983
City College Of New York - CUNY,New York,1,1.0,5,Selective public,8257.0,9341.7002,48500,60889.663557169435,0.65994656
CUNY Lehman College,New York,1,1.0,5,Selective public,7271.0,7139.103,40700,42720.624296596965,0.60539794
"California State University, Los Angeles",Los Angeles,1,1.0,5,Selective public,8767.0,4761.478,43000,44225.554132302546,0.61570972
CUNY John Jay College Of Criminal Justice,New York,1,1.0,5,Selective public,7339.0,6199.8784,45200,49034.96503885044,0.6412642
MCPHS University,Boston,0,1.0,8,Nonselective four-year private not-for-profit,8066.0,9287.2422,112700,107741.8359375,0.85700816
Pace University,New York,0,1.0,6,Selective private,11627.0,9327.0703,60700,68356.63617803264,0.7052319
State University Of New York At Stony Brook,New York,1,1.0,3,Highly selective public,10346.0,15185.598,60100,65407.72770318536,0.70821267
New York City College Of Technology Of The City University Of New,New York,1,1.0,5,Selective public,6700.0,5951.1328,37000,39930.48504251819,0.57542437
ITI Technical College,Baton Rouge,0,2.0,11,Two-year for-profit,3693.0,4566.9126,55000,61562.87630208334,0.67441154
Texas A&M International University,Laredo,1,1.0,7,Nonselective four-year public,7689.0,3503.405,42800,44043.14985061369,0.62014204
CUNY Brooklyn College,New York,1,1.0,5,Selective public,7529.0,6696.8579,44300,53799.11341150132,0.61369479
Technical Career Institutes,New York,0,2.0,11,Two-year for-profit,5582.0,4798.6172,31300,36025.343400151985,0.53061152
University Of Texas - Pan American,Brownsville,1,1.0,5,Selective public,7552.0,4907.688,39300,41415.7856555792,0.58895397
CUNY Hunter College,New York,1,1.0,5,Selective public,7895.0,6699.4121,44400,47546.28142048317,0.61823165
Crimson Technical College,Los Angeles,0,2.0,11,Two-year for-profit,,6492.1802,37600,41296.7734375,0.61473453
Wood Tobe - Coburn School,New York,0,2.0,11,Two-year for-profit,5411.0,2262.9636,24500,29297.94986979167,0.48580751
United Talmudical Seminary,New York,0,1.0,8,Nonselective four-year private not-for-profit,3624.0,3026.6838,15300,25725.34765625,0.42648759
CUNY Queens College,New York,1,1.0,5,Selective public,7624.0,6069.6406,48200,55617.207263794335,0.62943792
Glendale Community College,Los Angeles,1,2.0,9,Two-year (public and private not-for-profit),8263.0,2742.5244,30500,37418.35056668262,0.52627963
South Texas College,Brownsville,1,1.0,7,Nonselective four-year public,5953.0,1992.7892,27500,31900.77243325323,0.50800675
"California State Polytechnic University, Pomona",Los Angeles,1,1.0,5,Selective public,9101.0,5185.8892,55100,58449.62114357159,0.68787456
University Of Texas At El Paso,El Paso,1,1.0,5,Selective public,8167.0,4914.3892,38400,41638.10448612917,0.58648044
CUNY York College,New York,1,1.0,5,Selective public,7001.0,5785.8081,36400,40589.20853147645,0.56992602
"Saint John's University of Queens, NY",New York,0,1.0,6,Selective private,11777.0,7481.4761,58900,66248.34193461301,0.69863933
"University Of California, Irvine",Los Angeles,1,1.0,3,Highly selective public,12839.0,18460.789,60400,68174.46898358034,0.70583749
Trocaire College,Buffalo,0,1.0,8,Nonselective four-year private not-for-profit,5215.0,5362.625,38200,38036.40234375,0.55525208
"Western Technical College of El Paso, TX",El Paso,0,2.0,11,Two-year for-profit,3282.4194,3140.0386,23900,30260.93880208333,0.48956266
Laredo Community College,Laredo,1,2.0,9,Two-year (public and private not-for-profit),5998.0,2836.8154,28700,33508.65210804488,0.52000922
University Of Texas At Brownsville,Brownsville,1,1.0,7,Nonselective four-year public,7007.0,3452.1865,29800,34401.43471629101,0.52404851
Saint Francis College,New York,0,1.0,6,Selective private,8739.0,4986.2578,53000,56786.8439638458,0.67268848
"CUNY, Hostos Community College",New York,1,2.0,9,Two-year (public and private not-for-profit),6437.0,6202.4766,27700,30712.70612938208,0.50042081
New Jersey Institute Of Technology,Newark,1,1.0,5,Selective public,11262.0,7870.374,71600,74319.95600261832,0.76516527
Mount St. Mary's College,Los Angeles,0,1.0,6,Selective private,8055.0,6333.2393,44900,48089.91409178224,0.63991994
Woodbury University,Los Angeles,0,1.0,6,Selective private,9365.0,11264.18,44300,45386.35045929394,0.61899149
"California State University, Northridge",Los Angeles,1,1.0,5,Selective public,8395.0,4898.8613,44100,49244.333410024294,0.62309015
CUNY Borough Of Manhattan Community College,New York,1,2.0,9,Two-year (public and private not-for-profit),6376.0,4236.6113,31900,34761.37122857986,0.53319645
Texas State Technical College Harlingen,Brownsville,1,2.0,9,Two-year (public and private not-for-profit),4270.0,3225.9214,25400,31168.51275828048,0.49554750000000003
CUNY Laguardia Community College,New York,1,2.0,9,Two-year (public and private not-for-profit),6670.0,4708.0601,31800,34091.892666551714,0.53089285
